,status_id,status_url,tweet_query,text,favorite_count,retweet_count,trend,normalized_trend,time_collected,date_label,user,language_code,hashtags,tagged_persons
0,1.396186125950128e+18,https://twitter.com/21WIRE/status/1396186125950128134,44,"The dominant driver of Climate on Earth is… the #SUN, not man-made CO2, or Al Gore’s mouth. 

Now you can see the evidence for yourself. Next year will be even colder. 

Do your research on Maunder Minimum/Grand Solar Minimum, troll #Greta &amp; climate cultists until they wake up.",165,73,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,21wire,en,"['sun', 'greta']",[]
1,1.39661340875418e+18,https://twitter.com/amandacarpenter/status/1396613408754180097,44,"Her answer re Al Gore conceding the election, which Trump still has not done, gets at the real central problem and what’s she working to fix. I would have also advised her not to get into the nitty gritty of every state’s voting laws.",129,15,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,amandacarpenter,en,[],[]
2,1.3968116211383747e+18,https://twitter.com/amandacarpenter/status/1396811621138374657,44,"@thefactualprep She was talking about the time period in January 2001 where Al Gore came to Bush’s inauguration. So, after the SCOTUS challenges. Gore helped signify Bush as the winner. I don’t see any retconning here",3,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,amandacarpenter,en,[],['thefactualprep']
3,1.3965521468757156e+18,https://twitter.com/Gore_Tarapaca/status/1396552146875715588,44,"CASOS COVID EN #TARAPACÁ 📊 | Revisa las cifras entregadas por la autoridad sanitaria, correspondientes al domingo 23 de mayo. 👇🏼

#Iquique #Tamarugal https://t.co/G8ZAaONu71",3,13,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,gore_tarapaca,es,"['tarapacá', 'iquique', 'tamarugal']",[]
4,1.3968131564885565e+18,https://twitter.com/tdappel/status/1396813156488556546,44,@andrewsaundry Al Gore,0,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,tdappel,cy,[],['andrewsaundry']
5,1.3968130860325478e+18,https://twitter.com/ChristianKohl12/status/1396813086032547841,44,@rosenbusch_ @AfD_HD Al Gore's Kontostand ist dank dem Geschäftsmodell anthropogener Klimawandel immens gestiegen.,1,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,christiankohl12,de,[],"['rosenbusch_', 'afd_hd']"
6,1.3968127400864072e+18,https://twitter.com/gardengirlwg/status/1396812740086407168,44,@andrewsaundry Al Gore,0,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,gardengirlwg,cy,[],['andrewsaundry']
7,1.3968126987347968e+18,https://twitter.com/JoeR42/status/1396812698734796807,44,"I don't think there's any one answer here possible. HRC, Al Gore, RFK, and potentially Al Smith come to mind. 

Though we came painfully close to having a President Henry A. Wallace, and we'd may have had M4A and an earlier reckoning with Jim Crow had that happened. https://t.co/TQxvLCl9aO",0,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,joer42,en,[],[]
8,1.3968126361724723e+18,https://twitter.com/thefactualprep/status/1396812636172472323,44,"@amandacarpenter And I’m discussing the 2000 election timeline of facts. 

Al Gore is no hero or deserves merit for conceding after this reached the Supreme Court when he retracted a concession and then sued to block military votes from counting in Florida.

This should be an easy denouncement.",1,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,thefactualprep,en,[],['amandacarpenter']
9,1.3968109179338793e+18,https://twitter.com/thefactualprep/status/1396810917933879298,44,Al Gore retracted his concession and then conceded after the Supreme Court decision. Let’s not try to retcon history over Donald Trump... https://t.co/8vCRzm5jrd,15,5,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,thefactualprep,en,[],[]
10,1.3968125547105772e+18,https://twitter.com/cedarloglake/status/1396812554710577154,44,"@craving_filled Al Gore is a big fat liar.

Remember when he sold his TV channel to big middle eastern oil? He pocketed at least $80 Million.

Now Gore is no where to be found as he flies in his private jet.",0,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,cedarloglake,en,[],['craving_filled']
11,1.3968125373714432e+18,https://twitter.com/gianticecube/status/1396812537371443216,44,Kyoto used to tell Al Gore to trying to tell out,0,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,gianticecube,en,[],[]
12,1.396812517691773e+18,https://twitter.com/uppittynegress/status/1396812517691772931,44,@AscendantSith Wait. Isn’t al gore mr seatbelts? Or who am I missing?,1,0,AL GORE,al gore,2021-05-24T13:00:22Z,May 24 2021,uppittynegress,en,[],['ascendantsith']
